room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16847054,1556,112184939,Shared room,,Montreal,,Mercier-Hochelaga-Maisonneuve,0,0.0,1,1.0,,31.0,,2017-08-10 12:16:00.338869,45.549825,-73.542211,0101000020E61000000322C495B36252C0F8C264AA60C64640
13865535,1556,81503728,Shared room,,Montreal,,Le Plateau-Mont-Royal,3,3.5,2,1.0,,10.0,,2017-08-10 12:16:00.336674,45.514245,-73.570347,0101000020E6100000CA17B490806452C0D690B8C7D2C14640
16601269,1556,64477738,Shared room,,Montreal,,Le Plateau-Mont-Royal,0,0.0,2,1.0,,29.0,,2017-08-10 12:16:00.333991,45.526036,-73.5835,0101000020E6100000D34D6210586552C06342CC2555C34640
8533871,1556,44931540,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,0,0.0,1,1.0,,40.0,,2017-08-10 12:16:00.331786,45.464887,-73.644464,0101000020E6100000C2DCEEE53E6952C0F3AACE6A81BB4640
6729087,1556,16882148,Shared room,,Montreal,,Le Plateau-Mont-Royal,0,0.0,2,1.0,,25.0,,2017-08-10 12:16:00.328706,45.518952,-73.568087,0101000020E6100000199293895B6452C0CE18E6046DC24640
13840907,1556,2043900,Shared room,,Montreal,,Ville-Marie,3,4.5,2,1.0,,21.0,,2017-08-10 12:16:00.320040,45.516901,-73.561848,0101000020E6100000AC545051F56352C08522DDCF29C24640
4444505,1556,4238907,Shared room,,Montreal,,Ville-Marie,13,4.5,1,1.0,,22.0,,2017-08-10 12:15:58.794775,45.501539,-73.554987,0101000020E610000021AD31E8846352C09355116E32C04640
19096982,1556,132218343,Shared room,,Montreal,,Rosemont-La Petite-Patrie,7,4.5,4,1.0,,16.0,,2017-08-10 12:15:58.790907,45.570301,-73.573835,0101000020E610000036936FB6B96452C024F0879FFFC84640
4518568,1556,4238907,Shared room,,Montreal,,Ville-Marie,4,5.0,1,1.0,,23.0,,2017-08-10 12:15:58.788120,45.500463,-73.555804,0101000020E61000001ABFF04A926352C0D5EDEC2B0FC04640
19039836,1556,132218343,Shared room,,Montreal,,Rosemont-La Petite-Patrie,6,4.0,3,1.0,,16.0,,2017-08-10 12:15:58.780927,45.569894,-73.573054,0101000020E6100000E335AFEAAC6452C0E3175E49F2C84640
672626,1556,2990575,Shared room,,Montreal,,Le Plateau-Mont-Royal,119,4.5,15,1.0,,20.0,,2017-08-10 12:15:58.778281,45.518201,-73.575842,0101000020E6100000726A6798DA6452C093E00D6954C24640
17304258,1556,116766258,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,3,5.0,3,1.0,,40.0,,2017-08-10 12:15:58.776048,45.484207,-73.630559,0101000020E6100000B4CC22145B6852C044BFB67EFABD4640
19605547,1556,128394836,Shared room,,Montreal,,Ville-Marie,2,0.0,1,1.0,,18.0,,2017-08-10 12:15:58.773689,45.529317,-73.546652,0101000020E6100000C092AB58FC6252C0C11BD2A8C0C34640
14153799,1556,3168214,Shared room,,Montreal,,Mercier-Hochelaga-Maisonneuve,10,4.5,1,1.0,,13.0,,2017-08-10 12:15:58.771441,45.545514,-73.548065,0101000020E610000043C5387F136352C04CC11A67D3C54640
19718263,1556,121785123,Shared room,,Montreal,,Ville-Marie,1,0.0,1,1.0,,25.0,,2017-08-10 12:15:58.769061,45.492829,-73.581142,0101000020E61000004015376E316552C09CC24A0515BF4640
